,url,index,course_id,review_platform,title,provider,school,published_time,effort_hours(perWeek).,level,price,enrollment_type,course_length,subject,area,value_lead,value_lead.log,value_lead.norm,between,bet_rank,trans,trans_rank,mix_rank,mix_rank.norm,title
940,https://www.class-central.com/mooc/701/coursera-terrorism-and-counterterrorism-comparing-theory-and-practice,5557,classCentral-2226,classCentral,Terrorism and Counterterrorism: Comparing Theory and Practice,Coursera,Leiden University,1,5,Introductory,49,FREE audit/Pay for certificate,6,Governance and Society,Social Sciences,25.0000001,3.258096542,0.003781104,0.010125821,1005,0.293949806,809,1814,0.980519481,Terrorism and Counterterrorism: Comparing Theory and Practice
949,https://www.class-central.com/mooc/722/coursera-from-the-big-bang-to-dark-energy,5688,classCentral-2357,classCentral,From the Big Bang to Dark Energy,Coursera,The University of Tokyo,1,5.5,Introductory,49,FREE audit/Pay for certificate,4,Physics and Astronomy,Physical Science and Engineering,13.0000001,2.639057337,0.001966222,0.009557015,1004,0.356354527,788,1792,0.968614719,From the Big Bang to Dark Energy
354,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment,4810,classCentral-1479,classCentral,A Life of Happiness and Fulfillment,Coursera,Indian School of Business,2,2.5,NA,49,FREE audit/Pay for certificate,6,Psychology,Social Sciences,952.0000002,6.859614904,0.143980741,0.009542499,1003,0.347898342,792,1795,0.970238095,A Life of Happiness and Fulfillment
164,https://www.class-central.com/mooc/1781/edx-the-science-of-happiness,3723,classCentral-392,classCentral,The Science of Happiness,edX,"University of California, Berkeley",2,4.5,Introductory,49,FREE audit/Pay for certificate,8,Social Sciences,Social Sciences,51.0000001,3.951243721,0.007713349,0.009473571,1002,0.440385805,734,1736,0.938311688,The Science of Happiness
547,https://www.class-central.com/mooc/3746/edx-will-china-rise-as-a-disruptive-force-the-insiders-perspective,4040,classCentral-709,classCentral,Will China Rise as a Disruptive Force? The Insiders¡¯ Perspective,edX,Tsinghua University,2,3,Introductory,NA,NA,4,Economics & Finance,Business,3.0000001,1.386294386,0.000453821,0.00932664,1001,0.524416824,675,1676,0.905844156,Will China Rise as a Disruptive Force? The Insiders¡¯ Perspective
695,https://www.class-central.com/mooc/431/coursera-how-things-work-an-introduction-to-physics,5233,classCentral-1902,classCentral,How Things Work: An Introduction to Physics,Coursera,University of Virginia,NA,3,NA,49,FREE audit/Pay for certificate,8,Physics and Astronomy,Physical Science and Engineering,19.0000001,2.995732279,0.002873663,0.009241305,1000,0.261148205,819,1819,0.983225108,How Things Work: An Introduction to Physics
510,https://www.class-central.com/mooc/353/coursera-greek-and-roman-mythology,4880,classCentral-1549,classCentral,Greek and Roman Mythology,Coursera,University of Pennsylvania,0,9,NA,79,FREE audit/Pay for certificate,10,Philosophy,Arts and Humanities,24.0000001,3.218875829,0.003629864,0.008715637,999,0.501007272,697,1696,0.916666667,Greek and Roman Mythology
359,https://www.class-central.com/mooc/2900/coursera-psychological-first-aid,5567,classCentral-2236,classCentral,Psychological First Aid,Coursera,Johns Hopkins University,2,2,NA,49,FREE audit/Pay for certificate,5,Psychology,Social Sciences,32.0000001,3.496507564,0.004839785,0.008609154,998,0.644792752,576,1574,0.850649351,Psychological First Aid
901,https://www.class-central.com/mooc/610/edx-justice,3697,classCentral-366,classCentral,Justice,edX,Harvard University,NA,3,Introductory,99,FREE audit/Pay for certificate,12,Philosophy & Ethics,Arts and Humanities,49.0000001,3.912023007,0.007410868,0.008601104,997,0.42522077,754,1751,0.946428571,Justice
134,https://www.class-central.com/mooc/1705/coursera-the-french-revolution,5075,classCentral-1744,classCentral,The French Revolution,Coursera,University of Melbourne,2,6.5,Introductory,49,FREE audit/Pay for certificate,6,History,Arts and Humanities,20.0000001,3.044522442,0.003024903,0.008437344,996,0.353878707,789,1785,0.96482684,The French Revolution
322,https://www.class-central.com/mooc/2737/coursera-data-visualization,5363,classCentral-2032,classCentral,Data Visualization,Coursera,University of Illinois at Urbana-Champaign,3,5,NA,79,FREE audit/Pay for certificate,4,Data Analysis,Data Science,17.0000001,2.890371763,0.002571183,0.008202415,995,0.438604365,737,1732,0.936147186,Data Visualization
546,https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1,6454,classCentral-3123,classCentral,"Algorithms: Design and Analysis, Part 1",Coursera,Stanford University,0,6,NA,NA,NA,7,Algorithms,Computer Science,76.0000001,4.343805423,0.011494353,0.007885076,994,0.383252317,779,1773,0.958333333,"Algorithms: Design and Analysis, Part 1"
426,https://www.class-central.com/mooc/3196/coursera-an-introduction-to-interactive-programming-in-python-part-2,5788,classCentral-2457,classCentral,An Introduction to Interactive Programming in Python (Part 2),Coursera,Rice University,2,8.5,Introductory,49,FREE audit/Pay for certificate,4,Software Development,Computer Science,77.0000001,4.356708828,0.011645593,0.007704546,993,0.461420431,725,1718,0.928571429,An Introduction to Interactive Programming in Python (Part 2)
698,https://www.class-central.com/mooc/4319/coursera-programming-for-everybody-getting-started-with-python,5275,classCentral-1944,classCentral,Programming for Everybody (Getting Started with Python),Coursera,University of Michigan,3,3,NA,49,FREE audit/Pay for certificate,7,Software Development,Computer Science,6612.000001,8.796792688,1.0000001,0.007608563,992,0.307937424,804,1796,0.970779221,Programming for Everybody (Getting Started with Python)
893,https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,4638,classCentral-1307,classCentral,Genes and the Human Condition (From Behavior to Biotechnology),Coursera,"University of Maryland, College Park",NA,6.5,NA,49,FREE audit/Pay for certificate,8,Biology,Life Sciences,3.0000001,1.386294386,0.000453821,0.007359431,991,0.392280047,772,1763,0.952922078,Genes and the Human Condition (From Behavior to Biotechnology)
380,https://www.class-central.com/mooc/2965/edx-cs190-1x-scalable-machine-learning,4537,classCentral-1206,classCentral,Scalable Machine Learning,edX,"University of California, Berkeley",2,7.5,Intermediate,NA,FREE audit/Pay for certificate,4,Data Analysis & Statistics,Data Science,14.0000001,2.708050208,0.002117462,0.007357466,990,0.432920992,743,1733,0.936688312,Scalable Machine Learning
561,https://www.class-central.com/mooc/385/coursera-learn-to-program-the-fundamentals,4721,classCentral-1390,classCentral,Learn to Program: The Fundamentals,Coursera,University of Toronto,0,7,Introductory,49,FREE audit/Pay for certificate,7,Software Development,Computer Science,69.0000001,4.248495243,0.010435672,0.007280286,989,0.710328665,528,1517,0.819805195,Learn to Program: The Fundamentals
171,https://www.class-central.com/mooc/1816/coursera-web-application-architectures,6286,classCentral-2955,classCentral,Web Application Architectures,Coursera,University of New Mexico,1,2.5,NA,79,FREE audit/Pay for certificate,5,Mobile and Web Development,Computer Science,1.00E-07,1.00E-07,1.00E-07,0.00721713,988,0.550291553,650,1638,0.885281385,Web Application Architectures
996,https://www.class-central.com/mooc/912/coursera-financial-markets,5944,classCentral-2613,classCentral,Financial Markets,Coursera,Yale University,1,9,NA,NA,NA,8,Finance,Business,19.0000001,2.995732279,0.002873663,0.00693276,987,0.526995332,673,1660,0.897186147,Financial Markets
315,https://www.class-central.com/mooc/2729/coursera-budgeting-and-scheduling-projects,5249,classCentral-1918,classCentral,Budgeting and Scheduling Projects,Coursera,"University of California, Irvine",2,2.5,NA,49,FREE audit/Pay for certificate,4,Leadership and Management,Business,12.0000001,2.564949365,0.001814982,0.00657179,986,0.431523868,746,1732,0.936147186,Budgeting and Scheduling Projects
116,https://www.class-central.com/mooc/1606/coursera-understanding-the-brain-the-neurobiology-of-everyday-life,4937,classCentral-1606,classCentral,Understanding the Brain: The Neurobiology of Everyday Life,Coursera,The University of Chicago,1,5,Introductory,49,FREE audit/Pay for certificate,10,Biology,Life Sciences,14.0000001,2.708050208,0.002117462,0.006411946,985,0.500279295,698,1683,0.909632035,Understanding the Brain: The Neurobiology of Everyday Life
474,https://www.class-central.com/mooc/3396/coursera-introduction-to-programming-with-matlab,5947,classCentral-2616,classCentral,Introduction to Programming with MATLAB,Coursera,Vanderbilt University,2,5,Introductory,49,FREE audit/Pay for certificate,9,Software Development,Computer Science,304.0000001,5.720311777,0.045977112,0.006276636,984,0.535428204,666,1650,0.891774892,Introduction to Programming with MATLAB
646,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,4637,classCentral-1306,classCentral,Functional Programming Principles in Scala,Coursera,?cole Polytechnique F?d?rale de Lausanne,0,6,Intermediate,49,FREE audit/Pay for certificate,6,Software Development,Computer Science,107.0000001,4.682131228,0.016182798,0.006259909,983,0.634331514,587,1570,0.848484848,Functional Programming Principles in Scala
27,https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming,6300,classCentral-2969,classCentral,Principles of Reactive Programming,Coursera,?cole Polytechnique F?d?rale de Lausanne,1,6,NA,NA,NA,7,Software Development,Computer Science,18.0000001,2.944438984,0.002722423,0.006145183,982,0.484366944,712,1694,0.915584416,Principles of Reactive Programming
619,https://www.class-central.com/mooc/4174/coursera-python-data-structures,5260,classCentral-1929,classCentral,Python Data Structures,Coursera,University of Michigan,3,3,NA,49,FREE audit/Pay for certificate,7,Software Development,Computer Science,4174,8.336869637,0.631276567,0.006012749,981,0.305036794,805,1786,0.965367965,Python Data Structures
476,https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,6461,classCentral-3130,classCentral,"Algorithms, Part II",Coursera,Princeton University,NA,8,Intermediate,NA,NA,6,Algorithms,Computer Science,13.0000001,2.639057337,0.001966222,0.005909455,980,0.477360865,716,1696,0.916666667,"Algorithms, Part II"
301,https://www.class-central.com/mooc/2690/edx-the-body-matters-why-exercise-makes-you-healthy-and-how-to-stay-uninjured,3446,classCentral-115,classCentral,The Body Matters: Why Exercise Makes You Healthy and How to Stay Uninjured,edX,McGill University,2,4,Introductory,NA,FREE audit/Pay for certificate,10,Health & Safety,Life Sciences,11.0000001,2.484906658,0.001663742,0.005777173,979,0.556052273,646,1625,0.878246753,The Body Matters: Why Exercise Makes You Healthy and How to Stay Uninjured
647,https://www.class-central.com/mooc/4220/coursera-introduction-to-game-design,5712,classCentral-2381,classCentral,Introduction to Game Design,Coursera,California Institute of the Arts,3,2.5,Introductory,49,FREE audit/Pay for certificate,4,Design and Product,Computer Science,22.0000001,3.13549422,0.003327384,0.005691189,978,0.419709894,757,1735,0.937770563,Introduction to Game Design
219,https://www.class-central.com/mooc/2140/edx-supply-chain-fundamentals,3552,classCentral-221,classCentral,Supply Chain Fundamentals,edX,Massachusetts Institute of Technology,2,10,Intermediate,150,FREE audit/Pay for certificate,13,Engineering,Physical Science and Engineering,24.0000001,3.218875829,0.003629864,0.005675854,977,0.446396951,731,1708,0.923160173,Supply Chain Fundamentals
