course_id,review_platform,title,school,area,subject,provider,price,level,course_length,effort_hours,published_time,time,session_open,review count,review rating,indegree,outdegree,degree,eigenvector,transitivity,constraint,closeness,betweenness,performace (t),performance (t+1),low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,url
CourseTalk-26,CourseTalk,United States Health Policy,Harvard University,Life Sciences,Health & Safety,edX,15,Introductory,13,4,1,1,TRUE,3,5,1,1,2,0.000109818,3.05E-05,0.500069323,0,1,15,5,0,0,1,0,511,34831
CourseTalk-26,CourseTalk,United States Health Policy,Harvard University,Life Sciences,Health & Safety,edX,15,Introductory,13,4,1,2,TRUE,1,5,0,0,0,1.36E-05,0,0,1.06E-17,0,5,0,0,0,1,0,270,34831
CourseTalk-27,CourseTalk,Introduction to Control System Design - A First Look,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,14,Introductory,4,5.5,3,3,TRUE,4,5,1,1,2,1.52E-05,4.93E-05,0.500039419,0,1974,20,0,0,0,1,0.5,827.5,70223
CourseTalk-35,CourseTalk,Cell Biology: Mitochondria,Harvard University,Life Sciences,Biology & Life Sciences,edX,30,Introductory,14,3,3,4,TRUE,4,5,0,1,1,1.16E-05,0,1.000219353,4.92E-17,0,20,NA,0,0,1,0,365.5,68048
CourseTalk-41,CourseTalk,Molecular Biology ? Part 2: Transcription and Transposition,Massachusetts Institute of Technology,Life Sciences,Biology & Life Sciences,edX,33,Advanced,6,6,3,3,TRUE,18,5,0,0,0,4.93E-06,0,0,0,0,90,30,0,0,1,1.388888889,1124.444444,69232
CourseTalk-41,CourseTalk,Molecular Biology ? Part 2: Transcription and Transposition,Massachusetts Institute of Technology,Life Sciences,Biology & Life Sciences,edX,33,Advanced,6,6,3,4,TRUE,6,5,1,0,1,1.17E-05,0,1.000219353,3.79E-17,0,30,NA,0,0,1,0.5,751.1666667,69232
CourseTalk-44,CourseTalk,Introduction to Psychology ãý×â???,Tsinghua University,Arts and Humanities,Philosophy & Ethics,edX,1,Introductory,13,5,NA,3,NA,3,0.833333333,0,0,0,4.93E-06,0,0,0,0,2.5,0,0.666666667,0,0.333333333,0,325.6666667,40031
CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,Harvard University,Social Sciences,Law,edX,4,Intermediate,8,4,2,2,TRUE,16,4.40625,4,3,7,4.80E-05,2.70E-05,0.224636924,5.53E-06,2577.001554,70.5,285.5,0.0625,0,0.9375,0.3125,150.625,83112
CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,Harvard University,Social Sciences,Law,edX,4,Intermediate,8,4,2,3,TRUE,61,4.680327869,0,0,0,4.93E-06,0,0,0,0,285.5,109.5,0.016393443,0.081967213,0.901639344,0.098360656,228.2786885,83112
CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,Harvard University,Social Sciences,Law,edX,4,Intermediate,8,4,2,4,TRUE,22,4.977272727,0,0,0,1.16E-05,0,0,4.92E-17,0,109.5,NA,0,0,1,0.090909091,197.5454545,83112
CourseTalk-54,CourseTalk,Introduction to Data Analysis using Excel,Microsoft,Data Science,Data Analysis & Statistics,edX,30,Introductory,4,3,3,3,TRUE,17,3.794117647,0,0,0,4.93E-06,0,0,0,0,64.5,6825.5,0.058823529,0.352941176,0.588235294,0,280.5294118,69858
CourseTalk-54,CourseTalk,Introduction to Data Analysis using Excel,Microsoft,Data Science,Data Analysis & Statistics,edX,30,Introductory,4,3,3,4,TRUE,1465,4.659044369,2,14,16,1.88E-05,0.025074755,0.480243142,0.24001009,142,6825.5,NA,0.004778157,0.036177474,0.959044369,0.005460751,268.4416382,69858
CourseTalk-55,CourseTalk,Introduction to Managerial Economics,Indian Institute of Management Bangalore,Business,Business & Management,edX,14,Intermediate,6,5.5,3,3,TRUE,27,4.462962963,0,0,0,4.93E-06,0,0,0,0,120.5,23,0,0.111111111,0.888888889,0.074074074,323.3703704,69538
CourseTalk-58,CourseTalk,The Business of Mining,Curtin University,Physical Science and Engineering,Engineering,edX,33,Introductory,4,1.5,3,3,TRUE,10,4.2,0,0,0,4.93E-06,0,0,0,0,42,19,0,0.3,0.7,0,273.5,69937
CourseTalk-58,CourseTalk,The Business of Mining,Curtin University,Physical Science and Engineering,Engineering,edX,33,Introductory,4,1.5,3,4,TRUE,4,4.75,0,0,0,1.16E-05,0,0,4.92E-17,0,19,NA,0,0,1,0.25,335.75,69937
CourseTalk-61,CourseTalk,Religious Literacy: Traditions and Scriptures,Harvard University,Language Learning,Humanities,edX,33,Introductory,4,8,3,3,TRUE,1,1,1,2,3,1.51E-05,4.93E-05,0.555594974,1.60E-17,3198.166667,1,0,1,0,0,0,461,65195
CourseTalk-66,CourseTalk,Sustainability in Everyday Life,Chalmers University of Technology,Physical Science and Engineering,Environmental Studies,edX,30,Introductory,6,6,2,3,TRUE,3,5,0,0,0,4.93E-06,0,0,0,0,15,1,0,0,1,0.333333333,757.6666667,69545
CourseTalk-66,CourseTalk,Sustainability in Everyday Life,Chalmers University of Technology,Physical Science and Engineering,Environmental Studies,edX,30,Introductory,6,6,2,4,TRUE,1,1,1,1,2,1.89E-05,7.48E-05,0.500219353,1.92E-05,693,1,NA,1,0,0,0,270,69545
CourseTalk-67,CourseTalk,AP¢ç Environmental Science - Part 1: The Living World,Rice University,Physical Science and Engineering,Environmental Studies,edX,30,Introductory,6,3,2,2,TRUE,2,2.5,1,1,2,4.75E-05,1.000027033,0.934591572,0.021290869,0,5,0,0.5,0.5,0,0,394,36368
CourseTalk-68,CourseTalk,Financial Decision Rules for Project Evaluation,University of Michigan,Business,Economics & Finance,edX,52,Intermediate,1,NA,4,4,TRUE,5,3.7,1,1,2,1.88E-05,7.48E-05,0.500219353,2.67E-17,12,18.5,NA,0.2,0.2,0.6,0,589.6,69246
CourseTalk-70,CourseTalk,Lessons from Ebola: Preventing the Next Pandemic,Harvard University,Life Sciences,Health & Safety,edX,33,Introductory,4,3.5,3,3,TRUE,5,5,1,1,2,1.50E-05,4.93E-05,0.500039419,2.90E-17,4631,25,0,0,0,1,0,340.4,49805
CourseTalk-71,CourseTalk,Policy Analysis Using Interrupted Time Series,The University of British Columbia,Data Science,Data Analysis & Statistics,edX,30,Intermediate,5,8,3,3,TRUE,13,4.730769231,0,0,0,4.93E-06,0,0,0,0,61.5,35.5,0,0.076923077,0.923076923,0.076923077,562,70232
CourseTalk-71,CourseTalk,Policy Analysis Using Interrupted Time Series,The University of British Columbia,Data Science,Data Analysis & Statistics,edX,30,Intermediate,5,8,3,4,TRUE,8,4.4375,0,1,1,1.88E-05,0,1.000219353,4.92E-17,0,35.5,NA,0,0.125,0.875,0.125,577.5,70232
CourseTalk-74,CourseTalk,Elements of Structures,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,NA,Intermediate,10,11,0,1,TRUE,2,4.75,1,1,2,0.000118455,3.05E-05,1.000069323,0.131438893,0,9.5,29.5,0,0,1,1,527.5,36266
CourseTalk-74,CourseTalk,Elements of Structures,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,NA,Intermediate,10,11,0,2,TRUE,6,4.916666667,0,0,0,1.36E-05,0,0,1.06E-17,0,29.5,5,0,0,1,0.333333333,753.8333333,36266
CourseTalk-74,CourseTalk,Elements of Structures,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,NA,Intermediate,10,11,0,4,TRUE,7,4.857142857,2,2,4,1.88E-05,7.48E-05,0.375219353,0.012692273,539,34,NA,0,0,1,0.142857143,861.2857143,36266
CourseTalk-77,CourseTalk,Communication Skills for Bridging Divides,Catalyst,Business,Communication,edX,14,Introductory,1,0.9,4,4,TRUE,22,4,0,0,0,1.16E-05,0,0,4.92E-17,0,88,NA,0.090909091,0.090909091,0.818181818,0,258.7727273,83019
CourseTalk-80,CourseTalk,Calculus 1A: Differentiation,Massachusetts Institute of Technology,Math and Logic,Math,edX,52,Introductory,13,8,2,3,TRUE,4,5,0,0,0,4.93E-06,0,0,0,0,20,0,0,0,1,0.25,292.75,27202
CourseTalk-82,CourseTalk,Data Analysis for Social Scientists,Massachusetts Institute of Technology,Data Science,Data Analysis & Statistics,edX,30,Advanced,12,12,4,4,TRUE,9,4.333333333,0,0,0,1.16E-05,0,0,4.92E-17,0,39,NA,0,0.222222222,0.777777778,0,572.7777778,82882
