id,community,overlapping_num
https://www.class-central.com/mooc/1928/edx-anthropology-of-current-world-issues,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c247+c268+c270,14
https://www.class-central.com/mooc/608/edx-the-challenges-of-global-poverty,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/2079/edx-humanity-and-nature-in-chinese-thought,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c124+c186+c219+c268+c270,15
https://www.class-central.com/mooc/926/edx-introduction-to-philosophy-god-knowledge-and-consciousness,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c168+c186+c268+c270,14
https://www.class-central.com/mooc/610/edx-justice,c7+c8+c9+c10+c11+c15+c17+c62+c66+c70+c75+c84+c103+c186+c247+c254+c265+c268+c270,19
https://www.class-central.com/mooc/1332/edx-the-science-of-everyday-thinking,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c242+c268+c270+c272,15
https://www.class-central.com/mooc/810/edx-ideas-of-the-twentieth-century,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/3603/edx-paradox-and-infinity,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/1988/edx-china-part-5-from-a-global-empire-under-the-mongols-to-a-global-economy-under-the-ming-dynasty,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/944/edx-was-alexander-great-the-life-leadership-and-legacies-of-history-s-greatest-warrior,c7+c8+c9+c10+c11+c15+c17+c66+c70+c75+c81+c103+c134+c186+c247+c268+c270,17
https://www.class-central.com/mooc/1009/edx-behavioral-economics-in-action,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/3192/edx-making-sense-of-news,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/2154/edx-nutrition-and-health-part-1-macronutrients-and-overnutrition,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c248+c268+c270,14
https://www.class-central.com/mooc/2905/edx-incarceration-s-witnesses-american-prison-writing,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/3305/edx-greeks-at-war-homer-at-troy,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/2520/edx-introduction-to-psychology,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c252+c268+c270,14
https://www.class-central.com/mooc/2811/edx-reclaiming-broken-places-introduction-to-civic-ecology,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/3599/edx-ignorance,c7+c8+c9+c10+c11+c13+c15+c17+c66+c70+c75+c81+c103+c134+c186+c247+c268+c270,18
https://www.class-central.com/mooc/2429/edx-hum2-1x-the-ancient-greek-hero-in-24-hours-hours-1-5-epic-and-lyric,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c147+c186+c268+c270,14
https://www.class-central.com/mooc/2502/edx-hum2-2x-the-ancient-greek-hero-in-24-hours-hours-6-11-signs-of-the-hero-in-epic-and-iconography,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c147+c186+c268+c270,14
https://www.class-central.com/mooc/2624/edx-hum2-3x-the-ancient-greek-hero-in-24-hours-hours-12-15-cult-of-heroes,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c147+c186+c268+c270,14
https://www.class-central.com/mooc/2471/edx-china300x-chinese-thought-ancient-wisdom-meets-modern-science,c7+c8+c9+c10+c11+c66+c70+c103+c181+c186+c228+c232+c242+c268+c270+c272,16
https://www.class-central.com/mooc/2626/edx-hum2-4x-the-ancient-greek-hero-in-24-hours-hours-16-21-the-hero-in-tragedy,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c147+c186+c268+c270,14
https://www.class-central.com/mooc/2629/edx-hum2-5x-the-ancient-greek-hero-in-24-hours-hours-22-24-plato-and-beyond,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c147+c186+c268+c270,14
https://www.class-central.com/mooc/3062/edx-00690242x-historical-relic-treasures-and-cultural-china,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/352/coursera-fantasy-and-science-fiction-the-human-mind-our-modern-world,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c247+c268+c270,14
https://www.class-central.com/mooc/2849/edx-a-christmas-carol-by-dickens-berkeleyx-book-club,c7+c8+c9+c10+c11+c66+c103+c144+c247+c268+c270,11
https://www.class-central.com/mooc/2850/edx-adventures-of-huckleberry-finn-by-twain-berkeleyx-book-club,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/2909/edx-frankenstein-or-the-modern-prometheus-by-shelley-berkeleyx-book-club,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c144+c186+c247+c268+c270,15
https://www.class-central.com/mooc/2912/edx-dubliners-by-joyce-berkeleyx-book-club,c7+c8+c9+c10+c11+c15+c17+c57+c59+c66+c70+c103+c113+c144+c186+c242+c247+c264+c268+c270,20
https://www.class-central.com/mooc/3588/coursera-contemporary-india,c7+c8+c9+c10+c11+c66+c70+c75+c81+c103+c186+c268+c270,13
https://www.class-central.com/mooc/2690/edx-the-body-matters-why-exercise-makes-you-healthy-and-how-to-stay-uninjured,c8+c9+c10+c11+c49+c103+c242+c262+c268,9
https://www.class-central.com/mooc/3322/edx-the-rise-of-superheroes-and-their-impact-on-pop-culture,c9+c10+c11+c23+c103+c124+c143+c165+c219+c242+c268+c269,12
https://www.class-central.com/mooc/1705/coursera-the-french-revolution,c10+c11+c15+c17+c57+c59+c103+c165+c206+c222+c231+c254+c266+c268+c269,15
https://www.class-central.com/mooc/3746/edx-will-china-rise-as-a-disruptive-force-the-insiders-perspective,c10+c11+c26+c103+c143+c232+c264,7
https://www.class-central.com/mooc/1781/edx-the-science-of-happiness,c11+c99+c103+c162+c174+c181+c206+c231+c242+c246+c264,11
https://www.class-central.com/mooc/5915/coursera-the-talmud-a-methodological-introduction,c12+c13,2
https://www.class-central.com/mooc/1335/edx-effective-thinking-through-mathematics,c12+c13,2
https://www.class-central.com/mooc/1336/edx-jazz-appreciation,c12+c13+c64,3
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,c14+c32+c176+c199+c237+c239+c242+c272,8
https://www.class-central.com/mooc/380/coursera-introductory-human-physiology,c14+c139+c164+c237+c271,5
https://www.class-central.com/mooc/1327/coursera-what-s-your-big-idea,c14+c18+c99+c174+c206+c211+c222+c231+c237+c242+c246+c265+c271,13
https://www.class-central.com/mooc/504/coursera-synapses-neurons-and-brains,c14+c237+c240+c253+c271,5
https://www.class-central.com/mooc/1887/coursera-vital-signs-understanding-what-the-body-is-telling-us,c14+c174+c199+c234+c237+c242+c271,7
https://www.class-central.com/mooc/3059/coursera-epidemics-pandemics-and-outbreaks,c14+c137+c167+c192+c237+c271,6
https://www.class-central.com/mooc/1371/coursera-international-leadership-and-organizational-behavior,c14+c26+c29+c111+c143+c192+c206+c232+c241+c264+c267,11
https://www.class-central.com/mooc/1603/coursera-beyond-silicon-valley-growing-entrepreneurship-in-transitioning-economies,c14+c237+c271,3
https://www.class-central.com/mooc/840/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship,c14+c18+c49+c99+c121+c129+c174+c206+c211+c222+c223+c231+c234+c237+c242+c246+c262+c265+c271+c272,20
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,c14+c18+c99+c174+c206+c211+c222+c231+c237+c242+c246+c265+c271,13
https://www.class-central.com/mooc/3885/coursera-general-chemistry-concept-development-and-application,c14+c147+c237+c271,4
https://www.class-central.com/mooc/3596/coursera-entrepreneurial-strategic-management,c14+c237+c271,3
https://www.class-central.com/mooc/346/coursera-basic-behavioral-neurology,c14+c199+c237+c271,4
https://www.class-central.com/mooc/438/coursera-introductory-organic-chemistry-part-2,c14+c237+c271,3
https://www.class-central.com/mooc/3462/edx-principles-of-biochemistry,c14+c237+c271,3
https://www.class-central.com/mooc/2430/edx-fundamentals-of-neuroscience-part-2-neurons-and-networks,c14+c237+c271,3
https://www.class-central.com/mooc/942/edx-fundamentals-of-neuroscience-part-1-electrical-properties-of-the-neuron,c14+c18+c169+c222+c237+c242+c271,7
https://www.class-central.com/mooc/3927/edx-the-fundamentals-of-neuroscience-part-3-the-brain,c14+c237+c271,3
https://www.class-central.com/mooc/2818/edx-introduction-to-global-hospitality-management,c14+c237+c271,3
https://www.class-central.com/mooc/2800/edx-ap-biology-part-3-evolution-and-diversity,c14+c237+c271,3
https://www.class-central.com/mooc/2802/edx-ap-biology-part-4-ecology,c14+c237+c271,3
https://www.class-central.com/mooc/347/coursera-cardiac-arrest-hypothermia-and-resuscitation-science,c14+c237+c271,3
https://www.class-central.com/mooc/952/coursera-virology-i-how-viruses-work,c14+c237+c271,3
https://www.class-central.com/mooc/1233/edx-80000901_1x-history-of-chinese-architecture-part-1,c14+c237+c271,3
https://www.class-central.com/mooc/1522/coursera-marine-megafauna-an-introduction-to-marine-science-and-conservation,c14+c237+c271,3
https://www.class-central.com/mooc/1621/edx-80000901_2x-history-of-chinese-architecture-part-2,c14+c237+c271,3
https://www.class-central.com/mooc/1149/coursera-useful-genetics-part-2,c14+c237+c271,3
https://www.class-central.com/mooc/674/coursera-international-organizations-management,c14+c237+c271,3
https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles,c15+c17+c66+c70+c75+c81+c103+c107+c134+c144+c247+c268,12
https://www.class-central.com/mooc/1057/coursera-dino-101-dinosaur-paleobiology,c15+c17+c59+c62+c66+c70+c75+c81+c103+c104+c134+c231+c247+c268+c269,15
https://www.class-central.com/mooc/1606/coursera-understanding-the-brain-the-neurobiology-of-everyday-life,c15+c17+c26+c29+c232+c264,6
https://www.class-central.com/mooc/502/coursera-the-ancient-greeks,c15+c17+c66+c70+c75+c81+c103+c104+c134+c222+c231+c247+c266+c268,14
https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i,c15+c17+c57+c59+c103+c113+c196+c208+c242+c247+c264+c268,12
https://www.class-central.com/mooc/1406/coursera-the-bible-s-prehistory-purpose-and-political-future,c15+c17+c66+c70+c75+c81+c103+c123+c134+c186+c247+c268,12
https://www.class-central.com/mooc/1135/coursera-the-music-of-the-beatles,c15+c17+c66+c70+c75+c103+c195+c247+c268+c269,10
https://www.class-central.com/mooc/1173/coursera-plagues-witches-and-war-the-worlds-of-historical-fiction,c15+c17+c66+c70+c75+c81+c103+c104+c162+c242+c247+c268,12
https://www.class-central.com/mooc/430/coursera-the-modern-world-part-one-global-history-from-1760-to-1910,c15+c17+c66+c70+c75+c81+c103+c134+c247+c268,10
https://www.class-central.com/mooc/1136/coursera-music-s-big-bang-the-genesis-of-rock-n-roll,c15+c17+c66+c70+c75+c81+c103+c134+c247+c268,10
https://www.class-central.com/mooc/690/coursera-history-of-rock-part-one,c15+c17+c66+c70+c75+c81+c103+c134+c247+c268+c269,11
https://www.class-central.com/mooc/381/coursera-introduction-to-genetics-and-evolution,c15+c17+c59+c66+c70+c75+c81+c103+c134+c199+c231+c242+c247+c268+c269,15
https://www.class-central.com/mooc/730/coursera-exploring-beethoven-s-piano-sonatas,c15+c17+c66+c70+c75+c103+c195+c247+c254+c265+c268,11
https://www.class-central.com/mooc/1378/coursera-our-earth-its-climate-history-and-processes,c15+c17+c59+c66+c70+c75+c81+c103+c134+c231+c247+c268+c269,13
https://www.class-central.com/mooc/692/coursera-history-of-rock-part-two,c15+c17+c66+c70+c75+c81+c103+c134+c247+c268,10
https://www.class-central.com/mooc/1172/coursera-the-kennedy-half-century,c15+c17+c66+c70+c75+c81+c103+c104+c123+c134+c186+c247+c268,13
